,name,dtype,thr,f1,roc,pr
0,11,test,0.5,0.7191,0.7934,0.8645
1,4,test,0.5,0.7149,0.793,0.8531
2,8,test,0.5,0.7083,0.784,0.8591
3,3,test,0.5,0.7072,0.7942,0.8647
4,5,test,0.5,0.7048,0.7849,0.8573
5,7,test,0.5,0.6903,0.7865,0.8558
6,13,test,0.5,0.6897,0.7807,0.8558
7,9,test,0.5,0.6895,0.7761,0.8582
8,14,test,0.5,0.6888,0.7782,0.8546
9,12,test,0.5,0.686,0.7972,0.8683
10,1,test,0.5,0.6835,0.7641,0.8459
11,6,test,0.5,0.6821,0.787,0.8548
12,10,test,0.5,0.6768,0.7529,0.8346
13,15,test,0.5,0.6667,0.753,0.8291
14,2,test,0.5,0.6527,0.7205,0.8111
15,15,train,0.5,0.9939,0.9995,0.9996
16,10,train,0.5,0.9691,0.9988,0.999
17,9,train,0.5,0.9499,0.9873,0.9891
18,8,train,0.5,0.9203,0.971,0.9735
19,5,train,0.5,0.8404,0.9227,0.9317
20,12,train,0.5,0.8213,0.9071,0.9148
21,13,train,0.5,0.8061,0.8946,0.8981
22,14,train,0.5,0.7979,0.889,0.8988
23,6,train,0.5,0.7826,0.8509,0.8596
24,7,train,0.5,0.7802,0.8663,0.8791
25,11,train,0.5,0.7517,0.8347,0.8501
26,1,train,0.5,0.7422,0.8311,0.8389
27,3,train,0.5,0.7363,0.8279,0.8434
28,4,train,0.5,0.7337,0.8277,0.8485
29,2,train,0.5,0.7262,0.8175,0.8266
30,9,val,0.5,0.7151,0.7951,0.8691
31,3,val,0.5,0.6928,0.7556,0.8444
32,11,val,0.5,0.6896,0.7698,0.8509
33,2,val,0.5,0.6884,0.7731,0.8386
34,12,val,0.5,0.687,0.751,0.8464
35,4,val,0.5,0.6854,0.7635,0.8601
36,7,val,0.5,0.682,0.766,0.8454
37,8,val,0.5,0.6808,0.7521,0.8526
38,10,val,0.5,0.6796,0.7309,0.8221
39,13,val,0.5,0.6771,0.7614,0.864
40,15,val,0.5,0.6688,0.7586,0.8459
41,5,val,0.5,0.6688,0.7665,0.8594
42,1,val,0.5,0.6614,0.7478,0.8261
43,14,val,0.5,0.6609,0.7235,0.8323
44,6,val,0.5,0.6418,0.7388,0.8374
