,name,dtype,thr,f1,roc,pr
0,3,test,0.5,0.6863,0.7604,0.8338
1,14,test,0.5,0.6851,0.7604,0.8287
2,12,test,0.5,0.6842,0.7612,0.8336
3,2,test,0.5,0.6828,0.7615,0.8375
4,9,test,0.5,0.6828,0.7615,0.8375
5,10,test,0.5,0.6793,0.7576,0.833
6,1,test,0.5,0.6759,0.7592,0.8349
7,13,test,0.5,0.6755,0.7521,0.8263
8,7,test,0.5,0.6701,0.7387,0.8038
9,11,test,0.5,0.6635,0.7534,0.8366
10,4,test,0.5,0.6457,0.7299,0.8182
11,6,test,0.5,0.6361,0.7279,0.7907
12,8,test,0.5,0.6325,0.7219,0.7834
13,5,test,0.5,0.6092,0.6801,0.757
14,12,train,0.5,1.0,1.0,1.0
15,7,train,0.5,0.9987,1.0,1.0
16,1,train,0.5,0.9961,1.0,1.0
17,2,train,0.5,0.9936,0.9998,0.9998
18,9,train,0.5,0.9936,0.9998,0.9998
19,5,train,0.5,0.9936,0.9999,0.9999
20,4,train,0.5,0.9923,0.9998,0.9998
21,11,train,0.5,0.9717,0.9998,0.9998
22,6,train,0.5,0.9588,0.9972,0.9956
23,8,train,0.5,0.9164,0.9762,0.9807
24,3,train,0.5,0.9138,0.9753,0.9775
25,10,train,0.5,0.8648,0.9543,0.9584
26,14,train,0.5,0.7539,0.8289,0.8205
27,13,train,0.5,0.7364,0.8231,0.821
28,12,val,0.5,0.7232,0.7271,0.802
29,1,val,0.5,0.7162,0.7439,0.8218
30,2,val,0.5,0.6915,0.7548,0.8363
31,9,val,0.5,0.6915,0.7548,0.8363
32,3,val,0.5,0.683,0.7328,0.8262
33,4,val,0.5,0.6779,0.7214,0.8117
34,8,val,0.5,0.6745,0.7216,0.8151
35,11,val,0.5,0.6745,0.7371,0.8174
36,7,val,0.5,0.6503,0.6552,0.7215
37,14,val,0.5,0.6494,0.723,0.8141
38,10,val,0.5,0.6336,0.7208,0.8127
39,13,val,0.5,0.6301,0.6963,0.7949
40,6,val,0.5,0.6125,0.7075,0.8159
41,5,val,0.5,0.5589,0.5925,0.7066
