,name,dtype,thr,f1,roc,pr
0,4,test,0.5,0.6292,0.6826,0.7982
1,3,test,0.5,0.6047,0.6621,0.7894
2,2,test,0.5,0.596,0.6565,0.7831
3,5,test,0.5,0.5864,0.6712,0.7988
4,1,test,0.5,0.5306,0.646,0.7842
5,3,train,0.5,0.9959,1.0,1.0
6,2,train,0.5,0.9939,0.9998,0.9999
7,5,train,0.5,0.7322,0.862,0.8883
8,4,train,0.5,0.7173,0.8155,0.8525
9,1,train,0.5,0.5532,0.7171,0.7678
10,4,val,0.5,0.588,0.6299,0.7205
11,2,val,0.5,0.5797,0.6264,0.6984
12,3,val,0.5,0.5687,0.6191,0.6959
13,5,val,0.5,0.5498,0.6302,0.7284
14,1,val,0.5,0.4854,0.6254,0.7322
